,1,2,3,4,5,6,7,8,9,10,11,12
20060317__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20060324__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20060324__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20060331__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20060331__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20060407__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20060407__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20060414__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20060414__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20060421__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20060421__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20060428__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20060428__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20060505__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20060505__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20060512__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20060512__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20060519__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20060519__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20060526__star_1,False,False,True,False,False,False,False,False,False,False,False,False
20060526__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20060602__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20060602__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20060609__star_1,False,False,False,True,False,False,False,False,False,False,False,False
20060609__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20060616__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20060616__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20060623__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20060623__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20060630__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20060630__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20060707__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20060707__star_2,False,False,False,False,True,False,False,False,False,False,False,False
20060714__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20060714__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20060721__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20060721__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20060728__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20060728__star_2,False,False,False,False,False,False,True,False,False,False,False,False
20060804__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20060804__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20060811__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20060811__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20060818__star_1,True,False,False,False,False,False,False,False,False,False,False,False
20060818__star_2,False,True,False,False,False,False,False,False,False,False,False,False
20060825__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20060825__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20060901__star_1,False,False,False,False,False,False,False,False,True,False,False,False
20060901__star_2,False,False,False,False,False,True,False,False,False,False,False,False
20060908__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20060908__star_2,True,False,False,False,False,False,False,False,False,False,False,False
20060915__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20060915__star_2,False,False,False,False,False,False,False,False,True,False,False,False
20060922__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20060922__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20060929__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20060929__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20061006__star_1,False,False,False,False,False,False,True,False,False,False,False,False
20061006__star_2,False,False,False,False,False,False,False,True,False,False,False,False
20061013__star_1,False,False,False,False,True,False,False,False,False,False,False,False
20061013__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20061020__star_1,False,False,False,False,False,True,False,False,False,False,False,False
20061020__star_2,False,False,True,False,False,False,False,False,False,False,False,False
20061027__star_1,False,False,False,False,False,False,False,True,False,False,False,False
20061027__star_2,False,False,False,False,False,False,True,False,False,False,False,False
