,1,2,3,4,5,6,7,8,9,10
2010119__star,0,0,0,0,0,0,0,1,0,0
2010120__star,1,0,0,0,0,0,0,0,0,0
2010121__star,0,0,1,0,0,0,0,0,0,0
2010122__star,0,0,0,0,0,0,0,1,0,0
2010123__star,0,0,1,0,0,0,0,0,0,0
2010124__star,0,0,0,0,0,0,0,0,1,0
2010125__star,0,0,0,0,1,0,0,0,0,0
2010126__star,0,0,0,0,0,0,1,0,0,0
2010127__star,0,0,0,0,0,0,1,0,0,0
2010128__star,0,0,0,0,0,0,0,0,0,1
2010129__star,0,0,0,0,1,0,0,0,0,0
2010130__star,0,0,0,0,1,0,0,0,0,0
2010131__star,0,0,0,0,0,0,0,0,0,1
2010132__star,1,0,0,0,0,0,0,0,0,0
2010133__star,0,0,1,0,0,0,0,0,0,0
2010134__star,0,0,0,0,0,0,0,0,1,0
2010135__star,0,0,0,1,0,0,0,0,0,0
2010136__star,0,1,0,0,0,0,0,0,0,0
2010137__star,1,0,0,0,0,0,0,0,0,0
2010138__star,0,0,0,0,0,0,0,0,0,1
2010139__star,0,1,0,0,0,0,0,0,0,0
2010140__star,0,1,0,0,0,0,0,0,0,0
2010141__star,0,0,0,0,1,0,0,0,0,0
2010142__star,0,0,0,0,1,0,0,0,0,0
2010143__star,0,0,0,0,0,0,0,1,0,0
2010144__star,0,0,1,0,0,0,0,0,0,0
2010145__star,0,0,0,0,0,1,0,0,0,0
2010146__star,0,0,0,0,0,0,0,0,1,0
2010147__star,1,0,0,0,0,0,0,0,0,0
2010148__star,1,0,0,0,0,0,0,0,0,0
2010149__star,0,0,1,0,0,0,0,0,0,0
2010150__star,0,0,0,0,0,0,0,1,0,0
2010151__star,0,0,0,0,0,0,1,0,0,0
2010152__star,0,0,0,1,0,0,0,0,0,0
2010153__star,0,0,0,0,0,0,0,0,1,0
2010154__star,0,0,0,0,1,0,0,0,0,0
2010155__star,0,0,0,0,0,0,0,0,1,0
2010156__star,0,0,1,0,0,0,0,0,0,0
2011001__star,0,0,1,0,0,0,0,0,0,0
2011002__star,0,1,0,0,0,0,0,0,0,0
2011003__star,0,0,0,0,1,0,0,0,0,0
2011004__star,0,0,0,0,0,0,0,0,0,1
2011005__star,0,0,0,1,0,0,0,0,0,0
2011006__star,0,0,0,0,0,0,1,0,0,0
2011007__star,0,0,0,0,0,0,0,1,0,0
2011008__star,0,0,0,0,1,0,0,0,0,0
2011009__star,0,0,0,1,0,0,0,0,0,0
2011010__star,0,0,0,0,0,0,1,0,0,0
2011011__star,0,0,0,1,0,0,0,0,0,0
2011012__star,1,0,0,0,0,0,0,0,0,0
2011013__star,0,0,0,0,0,0,0,1,0,0
2011014__star,0,0,0,0,1,0,0,0,0,0
2011015__star,0,0,1,0,0,0,0,0,0,0
2011016__star,0,0,0,0,0,0,1,0,0,0
2011017__star,1,0,0,0,0,0,0,0,0,0
2011018__star,0,0,0,0,0,0,1,0,0,0
2011019__star,0,1,0,0,0,0,0,0,0,0
2011020__star,1,0,0,0,0,0,0,0,0,0
2011021__star,0,0,0,0,0,0,0,0,1,0
2011022__star,0,0,0,0,0,1,0,0,0,0
2011023__star,0,0,0,0,0,1,0,0,0,0
2011024__star,0,0,0,0,0,0,0,0,0,1
2011025__star,1,0,0,0,0,0,0,0,0,0
2011026__star,0,0,0,0,0,1,0,0,0,0
2011027__star,0,0,0,0,0,0,1,0,0,0
2011028__star,0,1,0,0,0,0,0,0,0,0
2011029__star,0,0,0,0,1,0,0,0,0,0
2011030__star,0,0,0,0,0,0,0,1,0,0
2011031__star,0,0,0,0,0,0,0,0,1,0
2011032__star,0,0,0,0,0,0,1,0,0,0
2011033__star,0,0,0,1,0,0,0,0,0,0
2011034__star,0,0,0,0,0,0,0,1,0,0
2011035__star,1,0,0,0,0,0,0,0,0,0
2011036__star,0,0,0,0,1,0,0,0,0,0
2011037__star,0,0,0,0,0,0,0,0,1,0
2011038__star,1,0,0,0,0,0,0,0,0,0
2011039__star,0,0,0,0,0,0,0,0,0,1
2011040__star,0,0,1,0,0,0,0,0,0,0
2011041__star,0,0,0,0,0,0,1,0,0,0
2011042__star,0,0,1,0,0,0,0,0,0,0
2011043__star,0,0,0,0,0,0,0,1,0,0
2011044__star,0,0,0,0,0,1,0,0,0,0
2011045__star,1,0,0,0,0,0,0,0,0,0
2011046__star,0,0,0,0,0,0,0,1,0,0
2011047__star,0,0,0,0,1,0,0,0,0,0
2011048__star,0,0,0,0,0,0,0,0,1,0
2011049__star,0,0,0,0,0,0,0,0,1,0
2011050__star,0,1,0,0,0,0,0,0,0,0
2011051__star,0,0,0,0,0,1,0,0,0,0
2011052__star,0,0,1,0,0,0,0,0,0,0
2011053__star,0,1,0,0,0,0,0,0,0,0
2011054__star,0,1,0,0,0,0,0,0,0,0
2011055__star,0,0,0,0,0,0,0,1,0,0
2011056__star,0,0,0,0,0,0,1,0,0,0
2011057__star,0,0,0,0,1,0,0,0,0,0
2011058__star,0,0,0,0,0,0,0,1,0,0
2011059__star,0,0,0,0,0,0,0,1,0,0
2011060__star,1,0,0,0,0,0,0,0,0,0
2011061__star,0,0,0,0,0,0,0,0,0,1
2011062__star,0,0,1,0,0,0,0,0,0,0
2011063__star,0,0,1,0,0,0,0,0,0,0
2011064__star,0,0,0,0,0,0,0,0,1,0
2011065__star,0,0,0,0,0,0,0,0,1,0
2011066__star,0,0,0,0,1,0,0,0,0,0
2011067__star,0,1,0,0,0,0,0,0,0,0
2011068__star,1,0,0,0,0,0,0,0,0,0
2011069__star,0,0,0,0,1,0,0,0,0,0
2011070__star,0,0,0,0,1,0,0,0,0,0
2011071__star,0,0,0,0,0,1,0,0,0,0
2011072__star,0,0,0,0,0,0,0,1,0,0
2011073__star,0,0,0,0,0,0,0,0,0,1
2011074__star,0,0,0,0,0,0,0,0,1,0
2011075__star,0,0,0,0,1,0,0,0,0,0
2011076__star,0,0,1,0,0,0,0,0,0,0
2011077__star,0,0,1,0,0,0,0,0,0,0
2011078__star,0,0,0,1,0,0,0,0,0,0
2011079__star,0,0,0,0,1,0,0,0,0,0
2011080__star,0,0,0,1,0,0,0,0,0,0
2011081__star,0,0,0,0,0,1,0,0,0,0
2011082__star,0,0,0,0,0,1,0,0,0,0
2011083__star,0,0,0,0,0,0,0,0,1,0
2011084__star,0,0,0,0,0,1,0,0,0,0
2011085__star,0,0,1,0,0,0,0,0,0,0
2011086__star,0,0,0,0,0,0,1,0,0,0
2011087__star,0,0,0,0,0,1,0,0,0,0
2011088__star,0,0,0,0,1,0,0,0,0,0
2011089__star,0,0,0,0,0,0,1,0,0,0
2011090__star,0,0,0,0,0,0,0,0,0,1
2011091__star,1,0,0,0,0,0,0,0,0,0
2011092__star,0,0,1,0,0,0,0,0,0,0
2011093__star,0,0,0,0,0,0,0,0,0,1
2011094__star,0,0,0,1,0,0,0,0,0,0
2011095__star,0,0,0,0,0,0,0,0,1,0
2011096__star,0,1,0,0,0,0,0,0,0,0
2011097__star,0,0,0,0,0,0,0,0,1,0
2011098__star,0,0,0,0,0,0,0,1,0,0
2011099__star,0,0,0,0,0,0,0,0,1,0
2011100__star,0,0,0,1,0,0,0,0,0,0
2011101__star,1,0,0,0,0,0,0,0,0,0
2011102__star,0,0,0,1,0,0,0,0,0,0
2011103__star,0,1,0,0,0,0,0,0,0,0
2011104__star,0,1,0,0,0,0,0,0,0,0
2011105__star,0,0,1,0,0,0,0,0,0,0
2011106__star,0,0,0,0,1,0,0,0,0,0
2011107__star,0,0,0,0,1,0,0,0,0,0
2011108__star,0,0,0,0,0,0,1,0,0,0
2011109__star,0,0,0,0,1,0,0,0,0,0
2011110__star,0,1,0,0,0,0,0,0,0,0
2011111__star,0,0,1,0,0,0,0,0,0,0
2011112__star,0,0,0,1,0,0,0,0,0,0
2011113__star,0,0,0,0,0,0,1,0,0,0
2011114__star,0,0,0,1,0,0,0,0,0,0
2011115__star,0,0,0,0,0,1,0,0,0,0
2011116__star,0,0,0,0,0,0,0,0,1,0
2011117__star,0,0,1,0,0,0,0,0,0,0
2011118__star,0,0,1,0,0,0,0,0,0,0
2011119__star,1,0,0,0,0,0,0,0,0,0
2011120__star,0,0,0,0,1,0,0,0,0,0
2011121__star,0,0,0,0,0,0,1,0,0,0
2011122__star,0,0,0,0,0,0,1,0,0,0
2011123__star,0,0,0,0,1,0,0,0,0,0
2011124__star,0,0,1,0,0,0,0,0,0,0
2011125__star,0,0,0,0,0,0,0,0,0,1
2011126__star,0,0,0,0,0,0,0,1,0,0
2011127__star,0,0,0,0,0,0,1,0,0,0
2011128__star,0,0,0,0,0,0,1,0,0,0
2011129__star,1,0,0,0,0,0,0,0,0,0
2011130__star,0,0,0,0,0,0,0,1,0,0
2011131__star,0,0,0,0,0,0,1,0,0,0
2011132__star,0,0,0,0,0,0,0,0,1,0
2011133__star,0,0,0,0,0,0,0,0,0,1
2011134__star,0,0,0,0,1,0,0,0,0,0
