,ball_1,ball_2,ball_3,ball_4,ball_5,star
2009158,37,41,27,8,45,6
2009159,43,33,48,31,28,7
2009160,46,33,10,34,7,6
2009161,21,5,2,23,19,7
2009162,20,24,30,11,9,1
2009163,23,43,37,12,39,8
2009164,31,20,45,12,32,8
2009165,11,34,38,43,12,3
2009166,2,31,49,33,43,9
2009167,34,23,49,9,20,8
2009168,9,37,21,34,4,2
2009169,4,30,29,26,15,3
2009170,7,15,11,5,23,1
2009171,33,1,23,12,46,1
2009172,48,36,13,20,44,1
2009173,45,28,22,30,20,3
2009174,15,27,48,9,34,6
2009175,38,36,49,39,12,10
2009176,1,2,26,44,7,9
2009177,49,26,35,34,28,4
2009178,35,28,15,3,23,10
2009179,38,13,33,3,25,3
2009180,46,40,6,3,25,4
2009181,7,48,5,3,23,7
2009182,30,25,34,14,10,9
2009183,18,26,47,24,35,1
2009184,46,21,32,26,14,6
2009185,32,46,13,33,15,10
2009186,31,29,41,25,22,5
2009187,45,42,27,49,48,7
2009188,39,16,46,28,24,4
2009189,49,11,41,21,40,4
2009190,3,27,41,8,37,2
2009191,26,27,49,21,33,7
2009192,36,17,42,28,41,4
2009193,17,21,22,16,4,1
2009194,13,4,3,41,6,8
2009195,35,43,9,28,10,8
2009196,34,5,28,13,29,4
2009197,39,4,8,43,27,3
2009198,12,31,32,44,45,2
2009199,16,4,10,6,5,3
2009200,14,17,35,5,42,1
2009201,26,2,20,34,18,1
2009202,4,1,23,14,25,10
2009203,44,14,26,34,9,9
2009204,27,23,44,34,5,1
2009205,24,35,45,28,17,6
2009206,27,40,3,14,33,9
2009207,18,47,7,13,48,4
2009208,16,25,14,35,3,3
2009209,44,10,18,45,22,6
2009210,9,38,18,26,49,8
2009211,40,10,29,20,43,7
2009212,41,20,16,38,2,9
2009213,5,22,31,2,24,6
2009214,6,33,17,34,39,5
2009215,1,41,32,24,27,9
2009216,2,9,17,14,25,9
2009217,35,42,7,33,28,10
2009218,31,21,8,27,29,10
2009219,22,18,33,28,11,2
2009220,44,31,7,38,14,1
2009221,34,7,27,23,19,7
2009222,16,13,1,5,20,2
2009223,17,5,12,6,15,1
2009224,1,37,17,44,20,8
2009225,8,21,4,31,39,2
2009226,1,12,23,22,7,4
2009227,41,11,4,29,7,4
2009228,9,18,43,32,22,1
2009229,40,7,21,25,30,1
2009230,12,27,38,33,19,7
2009231,3,4,38,46,7,2
2009232,24,42,4,47,5,6
2009233,2,37,43,21,25,9
2009234,30,20,16,3,44,4
2009235,33,35,40,5,2,4
2009236,47,15,49,7,9,7
2009237,21,12,20,11,32,4
2009238,4,1,21,12,46,8
2009239,3,38,1,23,16,3
2009240,38,7,48,43,28,5
2009241,6,35,36,42,24,2
2009242,12,49,8,20,16,5
2009243,4,31,11,3,6,1
2009244,10,49,26,15,1,7
2009245,39,28,15,38,27,10
2009246,49,47,42,1,3,7
2009247,8,11,7,37,30,3
2009248,23,39,36,27,30,2
