,ball_1,ball_2,ball_3,ball_4,ball_5,star_1,star_2
20110712,19,17,42,45,38,9,10
20110715,26,6,33,39,34,3,4
20110719,16,3,25,35,26,5,9
20110722,4,50,15,49,23,2,6
20110726,5,1,25,48,22,11,3
20110729,37,38,19,27,12,5,10
20110802,8,33,14,24,5,8,3
20110805,34,32,18,14,13,1,10
20110809,36,24,34,7,23,11,8
20110812,7,20,37,10,27,7,4
20110816,45,18,1,13,17,8,3
20110819,16,6,31,28,14,11,2
20110823,42,50,6,14,4,2,4
20110826,25,45,22,33,12,5,7
20110830,46,8,2,10,19,5,9
20110902,37,12,26,38,44,4,7
20110906,42,35,50,48,47,9,8
20110909,21,5,34,31,28,2,1
20110913,28,32,49,9,30,9,10
20110916,39,2,42,17,8,3,10
20110920,25,38,19,9,36,11,7
20110923,6,33,48,14,34,6,2
20110927,28,18,40,27,35,3,5
20110930,28,15,44,31,5,1,6
20111004,14,16,23,45,38,8,11
20111007,42,34,18,38,26,8,5
20111011,12,16,4,1,48,9,10
20111014,47,23,12,29,32,3,5
20111018,46,18,37,48,23,2,10
20111021,37,19,2,33,46,5,8
20111025,39,28,22,12,27,4,10
20111028,39,16,20,17,50,4,8
20111101,20,45,23,14,46,1,11
20111104,41,50,11,43,14,9,2
20111108,40,15,4,29,1,1,5
20111111,30,18,1,4,23,3,7
20111115,47,17,22,6,45,3,11
20111118,39,44,24,4,12,2,4
20111122,16,40,38,24,18,2,4
20111125,34,14,26,19,28,5,8
20111129,25,50,11,45,41,7,2
20111202,27,40,7,43,30,9,8
20111206,34,21,20,38,19,9,3
20111209,21,12,47,44,29,2,1
20111213,12,37,18,33,7,1,11
20111216,10,2,23,31,5,5,2
20111220,14,48,1,9,12,7,1
20111223,22,7,24,28,21,1,11
20111227,26,21,25,19,44,7,3
20111230,36,44,43,16,50,8,7
20120103,42,30,45,3,49,5,10
20120106,1,6,10,31,12,7,2
20120110,9,4,30,10,40,9,2
20120113,39,13,21,14,27,8,6
20120117,12,44,22,30,31,5,6
20120120,10,28,27,2,22,8,6
20120124,1,20,6,2,36,11,8
20120127,10,19,44,13,39,6,2
20120131,43,34,38,9,45,4,2
20120203,16,20,19,25,28,1,10
20120207,15,3,17,33,28,2,4
