,1,2,3,4,5,6,7,8,9,10,11,12
2006018__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2006018__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006019__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2006019__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2006020__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2006020__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2006021__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2006021__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2006022__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2006022__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2006023__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2006023__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2006024__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2006024__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006025__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2006025__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2006026__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2006026__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006027__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006027__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2006028__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2006028__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006029__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2006029__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2006030__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2006030__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2006031__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006031__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006032__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2006032__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006033__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2006033__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006034__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2006034__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2006035__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2006035__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2006036__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2006036__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2006037__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006037__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2006038__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2006038__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006039__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2006039__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2006040__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2006040__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2006041__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2006041__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006042__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2006042__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006043__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2006043__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2006044__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2006044__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006045__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2006045__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006046__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2006046__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2006047__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2006047__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2006048__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2006048__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2006049__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2006049__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2006050__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2006050__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2006051__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2006051__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2006052__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2006052__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2007001__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007001__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2007002__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2007002__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2007003__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2007003__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007004__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2007004__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2007005__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007005__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2007006__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2007006__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007007__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007007__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2007008__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2007008__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007009__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2007009__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2007010__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2007010__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2007011__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2007011__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2007012__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2007012__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2007013__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007013__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2007014__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007014__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2007015__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2007015__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2007016__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2007016__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2007017__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007017__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007018__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007018__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2007019__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007019__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007020__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2007020__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2007021__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2007021__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2007022__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007022__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2007023__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2007023__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007024__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2007024__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2007025__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2007025__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2007026__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007026__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2007027__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2007027__star_2,0,0,0,0,0,0,0,1,0,0,0,0
